Date,price,high,low,upper_bound,lower_bound,position,market_return,trades,strategy_return,equity
2025-12-26,55.09185791015625,55.53012117577643,54.892645953182694,56.77593410476191,49.098401136416285,0.0,-0.0009032133808405396,0.0,-0.0,8974.053814883206
2025-12-29,54.27509307861328,54.77312107830833,53.707337663280995,56.77593410476191,49.098401136416285,0.0,-0.014825508932280851,0.0,-0.0,8974.053814883206
2025-12-30,53.88663101196289,54.603792586870355,53.8268700804888,56.77593410476191,49.098401136416285,0.0,-0.007157280524378473,0.0,-0.0,8974.053814883206
2025-12-31,52.5120735168457,53.98623594035286,52.432387213041594,56.77593410476191,49.098401136416285,0.0,-0.025508321253411292,0.0,-0.0,8974.053814883206
2026-01-02,52.14352798461914,54.663552147109,51.406448702045715,56.77593410476191,49.098401136416285,0.0,-0.007018300888620099,0.0,-0.0,8974.053814883206
2026-01-05,53.38859939575195,54.11572361012481,53.07982447148748,56.77593410476191,50.69954801818319,0.0,0.023877774658823903,0.0,0.0,8974.053814883206
2026-01-06,54.79304122924805,54.95241004407118,53.52805339889385,56.77593410476191,51.406448702045715,0.0,0.026306025057623916,0.0,0.0,8974.053814883206
2026-01-07,54.95240783691406,55.96838541547449,54.55398771568487,56.77593410476191,51.406448702045715,0.0,0.0029085191128421783,0.0,0.0,8974.053814883206
2026-01-08,53.97627258300781,54.76315772487812,53.28899531965707,56.77593410476191,51.406448702045715,0.0,-0.01776328449161302,0.0,-0.0,8974.053814883206
2026-01-09,55.54008102416992,55.87874021698538,53.57785328312788,56.77593410476191,51.406448702045715,0.0,0.02897214583977048,0.0,0.0,8974.053814883206
2026-01-12,55.66957092285156,56.117796896395504,54.36473995499859,55.96838541547449,51.406448702045715,0.0,0.002331467586899727,0.0,0.0,8974.053814883206
2026-01-13,55.38071060180664,56.2771624977376,54.74323538676774,56.117796896395504,51.406448702045715,0.0,-0.005188836850300693,0.0,-0.0,8974.053814883206
2026-01-14,53.61769485473633,54.663552866540066,52.292938586706796,56.2771624977376,51.406448702045715,0.0,-0.03183447319314103,0.0,-0.0,8974.053814883206
2026-01-15,54.16552734375,55.60980933034058,53.916513339153425,56.2771624977376,51.406448702045715,0.0,0.010217382349201776,0.0,0.0,8974.053814883206
2026-01-16,53.92647171020508,55.24126533789078,53.36868277703668,56.2771624977376,51.406448702045715,0.0,-0.004413427603645492,0.0,-0.0,8974.053814883206
2026-01-20,50.5299186706543,52.35270291123672,50.280904679295084,56.2771624977376,52.292938586706796,0.0,-0.06298489279631503,0.0,-0.0,8974.053814883206
2026-01-21,52.52203369140625,53.5878133331515,50.4701569140194,56.2771624977376,50.280904679295084,0.0,0.03942446521112042,0.0,0.0,8974.053814883206
2026-01-22,53.68741989135742,54.115724275102195,52.94037789175404,56.2771624977376,50.280904679295084,0.0,0.02218852009422201,0.0,0.0,8974.053814883206
2026-01-23,54.16552734375,54.85280462856177,53.109706596385735,56.2771624977376,50.280904679295084,0.0,0.008905390748150666,0.0,0.0,8974.053814883206
2026-01-26,54.86276626586914,55.41059630555963,53.996194810719274,56.2771624977376,50.280904679295084,0.0,0.012872373930641556,0.0,0.0,8974.053814883206
2026-01-27,56.3170051574707,56.57597803645235,55.34087076799839,56.2771624977376,50.280904679295084,0.0,0.026506845909923804,0.0,0.0,8974.053814883206
2026-01-28,56.834957122802734,57.781207289656244,56.50625681668569,56.57597803645235,50.280904679295084,1.0,0.009197079352564197,1.0,0.007697079352564197,9043.127819210542
2026-01-29,55.81897735595703,56.98436101462814,52.85073102741775,57.781207289656244,50.280904679295084,1.0,-0.017875966100413976,0.0,-0.017875966100413976,8881.473172872624
2026-01-30,53.787025451660156,55.49028034571287,53.10970704940782,57.781207289656244,50.280904679295084,1.0,-0.036402528325432004,0.0,-0.036402528325432004,8558.165094125563
2026-02-02,54.88268280029297,55.49027755406839,52.940376685308586,57.781207289656244,50.280904679295084,1.0,0.020370290779837097,0.0,0.020370290779837097,8732.497405634755
2026-02-03,52.312862396240234,55.54008175903886,50.878543101624416,57.781207289656244,50.280904679295084,1.0,-0.04682388456489628,0.0,-0.04682388456489628,8323.607955150055
2026-02-04,49.563743591308594,51.94432056072812,48.23899112179008,57.781207289656244,50.4701569140194,1.0,-0.05255148885007721,0.0,-0.05255148885007721,7886.189964502573
2026-02-05,47.45210647583008,49.33465167788436,46.874395980855915,57.781207289656244,48.23899112179008,0.0,-0.04260447178668736,1.0,-0.0015,7874.36067955582
2026-02-06,50.390472412109375,50.80881410180183,47.810687260049775,57.781207289656244,46.874395980855915,0.0,0.06192277128468393,0.0,0.0,7874.36067955582
2026-02-09,51.53593826293945,52.063846718354995,49.245006460954336,57.781207289656244,46.874395980855915,0.0,0.02273179424598548,0.0,0.0,7874.36067955582
2026-02-10,50.81877517700195,52.193333456017,50.689286839212,57.781207289656244,46.874395980855915,0.0,-0.013915785956558957,0.0,-0.0,7874.36067955582
2026-02-11,51.19728088378906,52.292940984557006,49.84264409034,57.781207289656244,46.874395980855915,0.0,0.00744814697852858,0.0,0.0,7874.36067955582
2026-02-12,48.06966018676758,51.86463485926977,47.80072841438542,57.781207289656244,46.874395980855915,0.0,-0.0610895860684626,0.0,-0.0,7874.36067955582
2026-02-13,48.27883529663086,49.39441694719973,46.99392215108207,57.781207289656244,46.874395980855915,0.0,0.004351499658008073,0.0,0.0,7874.36067955582
2026-02-17,48.159305572509766,48.786821909797936,46.23691720880078,57.781207289656244,46.874395980855915,0.0,-0.002475820375257398,0.0,-0.0,7874.36067955582
2026-02-18,49.19520568847656,50.16138123332917,48.00990040535435,57.781207289656244,46.23691720880078,0.0,0.02150986405746913,0.0,0.0,7874.36067955582
2026-02-19,48.63741683959961,49.20516846188153,47.97005733642921,57.781207289656244,46.23691720880078,0.0,-0.011338276587541718,0.0,-0.0,7874.36067955582
2026-02-20,49.86256408691406,50.25102531397623,47.571632276641274,57.781207289656244,46.23691720880078,0.0,0.02518939793523245,0.0,0.0,7874.36067955582
2026-02-23,48.049739837646484,49.68327095839024,47.47202557318003,57.781207289656244,46.23691720880078,0.0,-0.036356418536914625,0.0,-0.0,7874.36067955582
2026-02-24,49.58366775512695,49.842644449675134,47.63139885621201,57.781207289656244,46.23691720880078,0.0,0.031923750735454615,0.0,0.0,7874.36067955582
2026-02-25,51.66542434692383,51.75506954010857,50.33070913709106,57.781207289656244,46.23691720880078,0.0,0.04198472372148432,0.0,0.0,7874.36067955582
2026-02-26,49.852603912353516,51.43633316381875,48.51788867024034,57.781207289656244,46.23691720880078,0.0,-0.03508769080067076,0.0,-0.0,7874.36067955582
2026-02-27,49.3246955871582,49.57370959731168,48.06966284817943,56.98436101462814,46.23691720880078,0.0,-0.010589383176923595,0.0,-0.0,7874.36067955582
2026-03-02,49.50398254394531,49.95220849105492,47.04372307842857,55.54008175903886,46.23691720880078,0.0,0.0036348314906535784,0.0,0.0,7874.36067955582
2026-03-03,47.91029357910156,48.47804521289256,45.53968296068213,55.54008175903886,46.23691720880078,0.0,-0.032193146549957086,0.0,-0.0,7874.36067955582
2026-03-04,50.061771392822266,50.58968364081711,48.328636132395694,55.54008175903886,45.53968296068213,0.0,0.04490637925581775,0.0,0.0,7874.36067955582
2026-03-05,49.60358810424805,50.55980095356872,47.98001575824484,52.292940984557006,45.53968296068213,0.0,-0.009152358692603335,0.0,-0.0,7874.36067955582
2026-03-06,47.35250473022461,48.856547668509,46.99392395032841,52.292940984557006,45.53968296068213,0.0,-0.04538146251219788,0.0,-0.0,7874.36067955582
2026-03-09,49.19520568847656,49.5737080358908,45.32054842047279,52.292940984557006,45.53968296068213,0.0,0.03891454039760167,0.0,0.0,7874.36067955582
2026-03-10,49.205169677734375,50.53988491740367,48.637418041423395,52.292940984557006,45.32054842047279,0.0,0.00020253984343332476,0.0,0.0,7874.36067955582
2026-03-11,49.15536117553711,50.32074864990967,48.537807530804486,52.292940984557006,45.32054842047279,0.0,-0.0010122615677068403,0.0,-0.0,7874.36067955582
2026-03-12,46.64530563354492,48.298758488693615,46.56561932744031,52.292940984557006,45.32054842047279,0.0,-0.05106371882872773,0.0,-0.0,7874.36067955582
2026-03-13,45.74885559082031,48.05970536883131,45.4898788848617,51.86463485926977,45.32054842047279,0.0,-0.01921844075301604,0.0,-0.0,7874.36067955582
